Sample	type	Reference_name	Reference_fasta	Reference_gbk	batch	barcode	hac_reads	hac_contigs	sup_reads	sup_contigs Annot_db
K629-4	bacterial	K629	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K629.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K629.gbk	EBKMDS_20260206	barcode36	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_36.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_36.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_36.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_36.fastq.gz
K631-1	bacterial	K631	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K631.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K631.gbk	EBKMDS_20260206	barcode30	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_30.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_30.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_30.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_30.fastq.gz
K655-1	bacterial	K655	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K655.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K655.gbk	SHM_20260217	barcode20	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_20.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_20.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_20.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_20.fastq.gz
K656-1	bacterial	K656	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K656.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K656.gbk	SHM_20260217	barcode21	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_21.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_21.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_21.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_21.fastq.gz
K656-2	bacterial	K656	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K656.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K656.gbk	SHM_20260217	barcode14	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_14.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_14.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_14.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_14.fastq.gz
K660-1	bacterial	K660	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K660.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K660.gbk	SHM_20260217	barcode22	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_22.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_22.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_22.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_22.fastq.gz
K660-2	bacterial	K660	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K660.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K660.gbk	SHM_20260217	barcode15	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_15.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_15.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_15.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_15.fastq.gz
K99-10	bacterial	K99	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K99.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K99.gbk	EBKMDS_20260206	barcode41	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_41.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_41.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_41.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_41.fastq.gz
K99-4	bacterial	K99	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K99.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K99.gbk	EBKMDS_20260206	barcode35	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_35.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_35.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_35.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_35.fastq.gz
K99-6	bacterial	K99	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K99.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K99.gbk	EBKMDS_20260206	barcode40	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_hac/EBKMDS_20260206_40.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_hac/EBKMDS_20260206_40.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/basecalled_sup/EBKMDS_20260206_40.fastq.gz	/node10_R10/MinION_NFS/EBKMDS_20260206/consensus_sup/EBKMDS_20260206_40.fastq.gz
